scenario	under5_pct	to90_s	cuts_10min	lost_10min	queue_p95_ms	over_cap_kb_10s	blip_recover_s	fairness_x1000	decisions_fnv1a
lan_10g	0	7	0	10	1	0	0	1000	fad2f8fe
lan_1g	0	7	10	20	7	0	28	1000	e38b3002
wifi_good	0	1	0	8	4	0	0	1000	9decf792
wifi_tv	0	3	0	0	4	0	0	1000	186b82ed
wan_wg_12	0	3	0	0	31	0	0	1000	6edcf0ca
lte_variable	59	3	33	2600	245	0	0	1000	0597f7ec
shared_two_auto	1	3	0	4	28	0	0	1000	daa667a5
shared_newcomer	0	1	8	0	40	0	0	895	0ab5e4f6
shared_fixed_plus_auto	0	1	16	0	84	0	0	998	c5474d1b
shared_idle_lender	1	3	8	4	36	0	0	999	73044534
shared_leaver	1	3	0	4	28	0	0	971	8146ca5d
gpu_saturated	0	3	32	0	5	0	0	1000	ef7d422a
static_then_motion	0	1	0	0	5	0	0	1000	c74cf3dd
frame_driven_35fps	0	1	0	0	5	0	0	1000	c74cf3dd
old_host	0	11	0	0	4	0	0	1000	dc842130
no_ramp	0	0	0	0	6	0	0	1000	7d8eaf70
slow_start_spent	0	1	0	2	5	0	0	1000	e21ad91d
wifi_tv_probe_damage	0	3	0	0	4	0	0	1000	f50234f8
wifi_loss_heavy	70	99999	120	120	1	0	0	1000	47f8c93f
wifi_loss_severe	76	99999	120	970	1	0	0	1000	5e50d09a
decoder_knee	0	3	15	0	3	0	0	1000	0a161eab
starved_client	80	1	46	14586	399	0	0	1000	523cb97a
idle_then_motion	0	3	0	6	5	0	0	1000	ea6b71af
host_never_acks	0	99999	0	0	0	0	0	1000	37e3e450
unknown_refresh	0	99999	35	0	1	0	0	1000	0a161839
wifi_tv_probe_stalled	0	3	0	0	4	0	0	1000	69733130
decoder_headroom	0	3	20	0	4	0	0	1000	07a7ba85
encoder_stalled	0	3	0	0	5	0	0	1000	ea6b71af
unknown_refresh_knee	0	99999	35	0	1	0	0	1000	2a478f15
host_rebuild_stall	0	1	0	0	4	0	0	1000	9c97699d
host_rebuild_wave	0	1	0	0	4	0	0	1000	b9cb66b5
encoder_weak	0	3	0	0	5	0	0	1000	dc6adf6e
host_cadence_refusal	0	3	0	0	5	0	0	1000	ea6b71af
ramp_unanswered	0	32	0	0	5	0	0	1000	fe07926d
ramp_cut_short_wifi	0	34	10	0	6	0	0	1000	cd50f2f4
ramp_cut_short_wan	28	18	10	113	27	0	0	1000	4a30c397
wan_brownout	54	3	26	220	1441	0	0	1000	e0dcaf99
wan_ramp_reads_low	0	195	3	0	37	0	0	1000	4506c956
wan_lift_overshoot	0	104	3	0	37	0	0	1000	0b8cc93a
wifi_content_bound	0	3	3	0	4	0	0	1000	3320c9a6
wan_shallow_wall	0	49	9	123	6	0	0	1000	a86df0bc
wan_lone_loss	0	3	4	11	38	0	0	1000	b1aeb373
wifi_tv_legacy	0	20	0	0	3	0	0	1000	a510e60b
wifi_good_legacy	0	1	0	8	2	0	0	1000	811c9dc5
slow_start_spent_legacy	0	19	0	2	5	0	0	1000	a2d3b9e4
gpu_saturated_legacy	0	9	27	0	4	0	0	1000	3e661c75
wan_wg_12_legacy	10	0	13	353	30	19067	0	1000	43a0800f
wifi_tv_probe_damage_legacy	0	20	0	0	3	0	0	1000	f419fe3f
wifi_tv_probe_stalled_legacy	0	20	0	0	3	0	0	1000	8e422cdf
host_rebuild_stall_legacy	0	1	15	0	2	0	0	1000	325d140c
decoder_knee_legacy	0	99999	12	0	3	0	0	1000	f43012d4
unknown_refresh_knee_legacy	0	99999	25	0	1	0	0	1000	af8cb644
idle_then_motion_legacy	0	11	0	6	4	0	0	1000	74053aa3
pyrowave_pin_fit	0	1	0	0	5	0	0	1000	811c9dc5
pyrowave_pin_holds	0	1	0	0	1	0	0	1000	811c9dc5
calm_desktop_lossy	0	3	0	15	5	0	0	1000	ea6b71af
wan_lone_loss_nack	0	3	5	17	40	0	0	1000	23629498
wan_lone_loss_ack	0	3	4	11	38	0	0	1000	b1aeb373
wan_wg_12_nack	0	3	0	0	31	0	0	1000	6edcf0ca
wan_wg_12_ack	0	3	0	0	31	0	0	1000	6edcf0ca
